"function evaluation" "noise-free fitness - Fopt (-4.620900000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.452699058e+02 +3.452699058e+02 -1.168200942e+02 -1.168200942e+02 +1.8442e+00 -3.4962e+00
2 +1.762244330e+01 +1.762244330e+01 -4.444675567e+02 -4.444675567e+02 +2.3116e-01 +2.5340e+00
5 +1.816413776e+00 +1.816413776e+00 -4.602735862e+02 -4.602735862e+02 +2.2443e+00 +2.3101e+00
"function evaluation" "noise-free fitness - Fopt (7.766000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.167499213e+02 +1.167499213e+02 +1.944099213e+02 +1.944099213e+02 +2.8654e+00 -3.3228e+00
2 +4.318666301e+01 +4.318666301e+01 +1.208466630e+02 +1.208466630e+02 -3.0566e-01 -1.3926e+00
10 +3.514772087e+01 +3.514772087e+01 +1.128077209e+02 +1.128077209e+02 +1.6569e+00 +2.5851e-01
11 +2.003868626e+01 +2.003868626e+01 +9.769868626e+01 +9.769868626e+01 +2.2947e+00 -7.0613e-02
26 +5.924676506e+00 +5.924676506e+00 +8.358467651e+01 +8.358467651e+01 +1.4288e+00 -2.6028e-01
891 +2.884141889e+00 +2.884141889e+00 +8.054414189e+01 +8.054414189e+01 +2.2961e+00 -5.4869e-01
"function evaluation" "noise-free fitness - Fopt (1.156800000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.082162943e+01 +1.082162943e+01 +1.265016294e+02 +1.265016294e+02 -8.2840e-01 -6.9065e-01
573 +4.945551101e+00 +4.945551101e+00 +1.206255511e+02 +1.206255511e+02 +2.1851e+00 -1.6605e+00
844 +2.377160447e+00 +2.377160447e+00 +1.180571604e+02 +1.180571604e+02 +1.1516e+00 -6.7463e-01
"function evaluation" "noise-free fitness - Fopt (-3.710000000000e+00)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.606596485e+02 +2.606596485e+02 +2.569496485e+02 +2.569496485e+02 -3.8209e+00 +1.9372e+00
3 +4.530552347e+01 +4.530552347e+01 +4.159552347e+01 +4.159552347e+01 -2.2290e+00 -2.8812e+00
6 +9.173976250e+00 +9.173976250e+00 +5.463976250e+00 +5.463976250e+00 +2.9040e+00 -2.5975e+00
422 +3.397509549e+00 +3.397509549e+00 -3.124904512e-01 -3.124904512e-01 +3.0094e+00 -1.9827e+00
"function evaluation" "noise-free fitness - Fopt (1.321800000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.725931058e+02 +1.725931058e+02 +3.047731058e+02 +3.047731058e+02 +1.8781e+00 -2.5965e+00
2 +6.141990257e+01 +6.141990257e+01 +1.935999026e+02 +1.935999026e+02 -1.2548e+00 -3.3282e-01
7 +3.809797119e+01 +3.809797119e+01 +1.702779712e+02 +1.702779712e+02 +1.4344e+00 +1.0331e+00
20 +1.990296633e+01 +1.990296633e+01 +1.520829663e+02 +1.520829663e+02 +1.3931e+00 +1.1759e+00
24 +6.606581563e+00 +6.606581563e+00 +1.387865816e+02 +1.387865816e+02 +2.7179e+00 +1.2122e+00
206 +1.716933389e+00 +1.716933389e+00 +1.338969334e+02 +1.338969334e+02 +3.6766e+00 +1.4674e+00
"function evaluation" "noise-free fitness - Fopt (-5.847300000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.864757046e+02 +3.864757046e+02 -1.982542954e+02 -1.982542954e+02 -9.8995e-02 +2.8264e+00
4 +8.390404422e+01 +8.390404422e+01 -5.008259558e+02 -5.008259558e+02 +2.9386e+00 -7.4729e-01
8 +4.696491334e+01 +4.696491334e+01 -5.377650867e+02 -5.377650867e+02 +2.4005e-01 -2.1606e+00
22 +1.479200352e+01 +1.479200352e+01 -5.699379965e+02 -5.699379965e+02 +2.6446e+00 -2.0295e+00
78 +6.100888436e+00 +6.100888436e+00 -5.786291116e+02 -5.786291116e+02 +5.6846e-01 -3.0107e+00
313 +2.519121954e+00 +2.519121954e+00 -5.822108780e+02 -5.822108780e+02 +2.7428e+00 -3.0067e+00
998 +1.837486414e+00 +1.837486414e+00 -5.828925136e+02 -5.828925136e+02 +1.6201e+00 -3.0452e+00
"function evaluation" "noise-free fitness - Fopt (-3.654000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.696747584e+02 +2.696747584e+02 +2.331347584e+02 +2.331347584e+02 -9.8995e-02 +2.8264e+00
2 +2.152285672e+02 +2.152285672e+02 +1.786885672e+02 +1.786885672e+02 -1.1418e+00 +1.9773e+00
7 +6.231028425e+01 +6.231028425e+01 +2.577028425e+01 +2.577028425e+01 -8.6523e-02 -2.3913e-01
8 +2.399077904e+01 +2.399077904e+01 -1.254922096e+01 -1.254922096e+01 +2.4005e-01 -2.1606e+00
9 +9.265451925e+00 +9.265451925e+00 -2.727454808e+01 -2.727454808e+01 -1.6583e+00 -2.9374e+00
367 +4.070984235e-01 +4.070984235e-01 -3.613290158e+01 -3.613290158e+01 +1.7994e-01 -2.2211e+00
"function evaluation" "noise-free fitness - Fopt (1.000000000000e+03)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.638102686e+01 +2.638102686e+01 +1.026381027e+03 +1.026381027e+03 +1.4845e+00 -2.2501e+00
9 +2.408740529e+01 +2.408740529e+01 +1.024087405e+03 +1.024087405e+03 +6.7655e-01 -6.4444e-01
17 +6.774793906e+00 +6.774793906e+00 +1.006774794e+03 +1.006774794e+03 +6.4571e-01 -1.5038e+00
938 +5.529027246e+00 +5.529027246e+00 +1.005529027e+03 +1.005529027e+03 +1.4502e+00 -5.4038e-01
"function evaluation" "noise-free fitness - Fopt (4.661000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +8.539073646e+02 +8.539073646e+02 +9.005173646e+02 +9.005173646e+02 +3.7434e+00 +2.7300e+00
2 +5.844023464e+02 +5.844023464e+02 +6.310123464e+02 +6.310123464e+02 -2.2695e+00 -3.8960e+00
5 +1.257041412e+02 +1.257041412e+02 +1.723141412e+02 +1.723141412e+02 +1.8413e+00 +3.4074e+00
10 +7.574063340e+01 +7.574063340e+01 +1.223506334e+02 +1.223506334e+02 -1.6901e+00 +2.2858e+00
17 +5.663333874e+01 +5.663333874e+01 +1.032433387e+02 +1.032433387e+02 -3.7960e+00 +3.7268e+00
34 +2.235570474e+01 +2.235570474e+01 +6.896570474e+01 +6.896570474e+01 +9.2129e-01 +3.1336e+00
143 +9.491146353e+00 +9.491146353e+00 +5.610114635e+01 +5.610114635e+01 -1.2080e+00 +3.8713e+00
"function evaluation" "noise-free fitness - Fopt (-2.643100000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.993638666e+02 +2.993638666e+02 +3.505386655e+01 +3.505386655e+01 -2.7825e+00 +3.4577e+00
2 +9.569250994e+01 +9.569250994e+01 -1.686174901e+02 -1.686174901e+02 +2.7931e+00 -3.8929e+00
3 +3.354671563e+00 +3.354671563e+00 -2.609553284e+02 -2.609553284e+02 +2.1923e+00 -1.4779e+00
"function evaluation" "noise-free fitness - Fopt (7.273000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.621229377e+02 +3.621229377e+02 +4.348529377e+02 +4.348529377e+02 -2.7825e+00 +3.4577e+00
2 +5.743098496e+01 +5.743098496e+01 +1.301609850e+02 +1.301609850e+02 +2.7931e+00 -3.8929e+00
3 +3.776387547e+01 +3.776387547e+01 +1.104938755e+02 +1.104938755e+02 +2.1923e+00 -1.4779e+00
21 +1.704376258e+01 +1.704376258e+01 +8.977376258e+01 +8.977376258e+01 +2.3029e+00 -1.6754e+00
48 +1.517522357e+01 +1.517522357e+01 +8.790522357e+01 +8.790522357e+01 -2.9184e-01 -2.2739e+00
58 +5.102289291e+00 +5.102289291e+00 +7.783228929e+01 +7.783228929e+01 +2.5240e+00 -2.9814e+00
"function evaluation" "noise-free fitness - Fopt (1.368700000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.750700976e+02 +2.750700976e+02 +4.119400976e+02 +4.119400976e+02 +3.1816e+00 -1.6223e+00
3 +8.820077338e+01 +8.820077338e+01 +2.250707734e+02 +2.250707734e+02 +2.9372e+00 +9.5928e-01
5 +5.053855665e+01 +5.053855665e+01 +1.874085566e+02 +1.874085566e+02 +2.0554e+00 +2.3614e+00
6 +3.737441055e+01 +3.737441055e+01 +1.742444105e+02 +1.742444105e+02 +1.5861e+00 +2.1037e+00
48 +2.097794241e+01 +2.097794241e+01 +1.578479424e+02 +1.578479424e+02 +2.6381e+00 +3.0428e+00
127 +1.326141633e+01 +1.326141633e+01 +1.501314163e+02 +1.501314163e+02 +3.7058e+00 +3.6883e+00
181 +9.900543202e+00 +9.900543202e+00 +1.467705432e+02 +1.467705432e+02 +1.7322e+00 +3.6536e+00
299 +4.924751741e+00 +4.924751741e+00 +1.417947517e+02 +1.417947517e+02 +3.4250e+00 +3.9646e+00
"function evaluation" "noise-free fitness - Fopt (2.196000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +9.952156035e+01 +9.952156035e+01 +1.214815604e+02 +1.214815604e+02 +2.9811e+00 +2.0760e+00
5 +1.359947440e+01 +1.359947440e+01 +3.555947440e+01 +3.555947440e+01 +1.1007e+00 -1.3148e+00
85 +7.998752367e+00 +7.998752367e+00 +2.995875237e+01 +2.995875237e+01 +2.3473e+00 -7.9550e-02
104 +5.917304086e+00 +5.917304086e+00 +2.787730409e+01 +2.787730409e+01 +2.2341e+00 -6.7536e-01
"function evaluation" "noise-free fitness - Fopt (-2.139000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.703363249e+02 +2.703363249e+02 +2.489463249e+02 +2.489463249e+02 +1.4845e+00 -2.2501e+00
2 +1.969253301e+02 +1.969253301e+02 +1.755353301e+02 +1.755353301e+02 -2.5323e+00 -1.0102e+00
3 +2.771928705e+01 +2.771928705e+01 +6.329287046e+00 +6.329287046e+00 +2.0983e+00 +2.3355e+00
8 +2.219728098e+01 +2.219728098e+01 +8.072809775e-01 +8.072809775e-01 +1.3372e+00 +2.9977e+00
92 +1.026938099e+01 +1.026938099e+01 -1.112061901e+01 -1.112061901e+01 +1.0210e+00 +2.7776e+00
155 +6.519370111e+00 +6.519370111e+00 -1.487062989e+01 -1.487062989e+01 +3.0457e+00 +3.0942e+00
643 +4.376809292e+00 +4.376809292e+00 -1.701319071e+01 -1.701319071e+01 +2.2726e+00 +3.1309e+00
"function evaluation" "noise-free fitness - Fopt (5.176600000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.267977866e+02 +3.267977866e+02 +8.444577866e+02 +8.444577866e+02 +2.3604e-01 -2.4926e+00
3 +1.004689916e+02 +1.004689916e+02 +6.181289916e+02 +6.181289916e+02 +1.5202e+00 +2.3894e-01
4 +4.211976101e+01 +4.211976101e+01 +5.597797610e+02 +5.597797610e+02 -1.0129e+00 +2.1795e+00
21 +2.720386571e+01 +2.720386571e+01 +5.448638657e+02 +5.448638657e+02 +2.8971e+00 +2.0518e+00
25 +2.434005906e+01 +2.434005906e+01 +5.420000591e+02 +5.420000591e+02 +2.1317e+00 +2.9739e+00
87 +9.674258442e+00 +9.674258442e+00 +5.273342584e+02 +5.273342584e+02 +3.6890e+00 +3.1384e+00
519 +4.288097204e+00 +4.288097204e+00 +5.219480972e+02 +5.219480972e+02 +2.9333e+00 +2.8377e+00
"function evaluation" "noise-free fitness - Fopt (-1.375500000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +5.215211265e+01 +5.215211265e+01 -8.539788735e+01 -8.539788735e+01 -3.2887e-01 +2.5044e+00
4 +1.720803653e+01 +1.720803653e+01 -1.203419635e+02 -1.203419635e+02 +4.1666e-01 +3.6506e+00
20 +1.311833784e+01 +1.311833784e+01 -1.244316622e+02 -1.244316622e+02 +4.6452e-01 +2.8857e+00
169 +7.155850115e+00 +7.155850115e+00 -1.303941499e+02 -1.303941499e+02 +3.5818e+00 +3.6286e+00
333 +4.523873222e+00 +4.523873222e+00 -1.330261268e+02 -1.330261268e+02 +1.6082e+00 +3.5736e+00
984 +3.746810934e+00 +3.746810934e+00 -1.338031891e+02 -1.338031891e+02 +3.5865e+00 +3.2419e+00
"function evaluation" "noise-free fitness - Fopt (-1.009800000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +6.772143320e+01 +6.772143320e+01 -3.325856680e+01 -3.325856680e+01 -1.7455e-01 +3.0805e+00
5 +2.511829599e+01 +2.511829599e+01 -7.586170401e+01 -7.586170401e+01 -1.9691e-01 +1.0969e+00
6 +9.202438182e+00 +9.202438182e+00 -9.177756182e+01 -9.177756182e+01 +4.2942e-01 +1.6786e+00
730 +4.167376958e+00 +4.167376958e+00 -9.681262304e+01 -9.681262304e+01 +2.4814e+00 +1.6943e+00
"function evaluation" "noise-free fitness - Fopt (3.234000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.394807435e+02 +2.394807435e+02 +2.718207435e+02 +2.718207435e+02 -1.4058e+00 -3.1055e+00
3 +2.681751195e+01 +2.681751195e+01 +5.915751195e+01 +5.915751195e+01 -2.4010e+00 +2.5570e+00
10 +1.454712215e+01 +1.454712215e+01 +4.688712215e+01 +4.688712215e+01 +7.9848e-01 +1.3043e+00
140 +2.117908421e+00 +2.117908421e+00 +3.445790842e+01 +3.445790842e+01 +6.0575e-01 +1.8790e+00
"function evaluation" "noise-free fitness - Fopt (6.109800000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.098964430e+02 +3.098964430e+02 +9.208764430e+02 +9.208764430e+02 +8.3736e-01 +1.9879e+00
3 +7.757645614e+01 +7.757645614e+01 +6.885564561e+02 +6.885564561e+02 +1.8986e+00 -1.0678e+00
17 +2.956179338e+01 +2.956179338e+01 +6.405417934e+02 +6.405417934e+02 -6.2803e-01 -3.3559e+00
19 +2.113560362e+01 +2.113560362e+01 +6.321156036e+02 +6.321156036e+02 +1.7566e+00 -2.2328e+00
255 +1.136976068e+01 +1.136976068e+01 +6.223497607e+02 +6.223497607e+02 +3.3587e+00 -3.0923e+00
300 +5.236472407e+00 +5.236472407e+00 +6.162164724e+02 +6.162164724e+02 +2.6128e+00 -3.0284e+00
"function evaluation" "noise-free fitness - Fopt (6.117000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +4.159646882e+02 +4.159646882e+02 +4.771346882e+02 +4.771346882e+02 -9.8995e-02 +2.8264e+00
2 +3.098310213e+02 +3.098310213e+02 +3.710010213e+02 +3.710010213e+02 -1.1418e+00 +1.9773e+00
7 +1.207590732e+02 +1.207590732e+02 +1.819290732e+02 +1.819290732e+02 -8.6523e-02 -2.3913e-01
8 +3.343452167e+01 +3.343452167e+01 +9.460452167e+01 +9.460452167e+01 +2.4005e-01 -2.1606e+00
9 +7.439105324e+00 +7.439105324e+00 +6.860910532e+01 +6.860910532e+01 -1.6583e+00 -2.9374e+00
20 +4.261732254e+00 +4.261732254e+00 +6.543173225e+01 +6.543173225e+01 -1.7937e+00 -3.2853e+00
204 +2.156901209e+00 +2.156901209e+00 +6.332690121e+01 +6.332690121e+01 -7.8000e-01 -2.9645e+00
"function evaluation" "noise-free fitness - Fopt (2.169000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.162206204e+01 +3.162206204e+01 +5.331206204e+01 +5.331206204e+01 +1.5714e+00 +1.4930e-01
2 +7.730919929e+00 +7.730919929e+00 +2.942091993e+01 +2.942091993e+01 +1.4961e+00 +1.0635e+00
171 +2.838408067e+00 +2.838408067e+00 +2.452840807e+01 +2.452840807e+01 +5.7450e-01 +1.1150e+00
"function evaluation" "noise-free fitness - Fopt (8.232000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.476786512e+01 +3.476786512e+01 +1.170878651e+02 +1.170878651e+02 +1.5104e+00 -5.0045e-01
38 +1.208254952e+01 +1.208254952e+01 +9.440254952e+01 +9.440254952e+01 +2.4483e+00 -2.9053e+00
231 +5.030890748e+00 +5.030890748e+00 +8.735089075e+01 +8.735089075e+01 +1.7070e+00 -1.9439e+00
702 +1.842356788e+00 +1.842356788e+00 +8.416235679e+01 +8.416235679e+01 +1.6797e+00 -2.1971e+00
"function evaluation" "noise-free fitness - Fopt (2.034600000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
