"function evaluation" "noise-free fitness - Fopt (7.948000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.203133849e+01 +1.203133849e+01 +9.151133849e+01 +9.151133849e+01 -3.2122e+00 -9.9942e-01
3 +2.905557890e+00 +2.905557890e+00 +8.238555789e+01 +8.238555789e+01 -1.0768e+00 -9.0160e-02
4 +2.159894536e-01 +2.159894536e-01 +7.969598945e+01 +7.969598945e+01 +4.4076e-02 -1.5720e+00
297 +3.870707529e-02 +3.870707529e-02 +7.951870708e+01 +7.951870708e+01 +4.4799e-01 -1.1322e+00
419 +3.266684591e-03 +3.266684591e-03 +7.948326668e+01 +7.948326668e+01 +2.5915e-01 -1.2136e+00
"function evaluation" "noise-free fitness - Fopt (3.944800000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +6.052388251e+01 +6.052388251e+01 +4.550038825e+02 +4.550038825e+02 +1.9273e+00 +2.2656e+00
2 +8.459435602e+00 +8.459435602e+00 +4.029394356e+02 +4.029394356e+02 -2.1049e+00 -6.0068e-01
8 +7.200458452e-01 +7.200458452e-01 +3.952000458e+02 +3.952000458e+02 -3.0767e+00 -2.6784e+00
45 +1.121264352e-01 +1.121264352e-01 +3.945921264e+02 +3.945921264e+02 -3.9676e+00 -2.5628e+00
150 +6.534138511e-03 +6.534138511e-03 +3.944865341e+02 +3.944865341e+02 -3.9758e+00 -2.8671e+00
"function evaluation" "noise-free fitness - Fopt (-2.471100000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.467531223e+01 +2.467531223e+01 -2.224346878e+02 -2.224346878e+02 +8.3736e-01 +1.9879e+00
2 +9.434074179e+00 +9.434074179e+00 -2.376759258e+02 -2.376759258e+02 -2.7943e+00 +3.1059e+00
5 +1.212905560e+00 +1.212905560e+00 -2.458970944e+02 -2.458970944e+02 -3.2394e+00 -7.4569e-01
15 +1.261833183e-01 +1.261833183e-01 -2.469838167e+02 -2.469838167e+02 -3.8955e+00 +5.4488e-01
77 +6.982136002e-02 +6.982136002e-02 -2.470401786e+02 -2.470401786e+02 -3.9313e+00 -2.5201e-02
198 +3.010493537e-02 +3.010493537e-02 -2.470798951e+02 -2.470798951e+02 -3.9715e+00 +1.9076e-01
389 +2.279213096e-02 +2.279213096e-02 -2.470872079e+02 -2.470872079e+02 -3.8835e+00 +7.8528e-02
778 +4.185819154e-03 +4.185819154e-03 -2.471058142e+02 -2.471058142e+02 -3.7575e+00 +1.5305e-01
